SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	subject	Beta_ERC	Beta_BA35	Beta_BA36	Beta_SUB	Beta_CA1	Beta_CA2	Beta_CA3	Beta_DG	Beta_PHC	Beta_HT
1	1	1	1	46003	626	0.5050821574404835	0	1.0	803.5297809983604	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.3987536231884058	0.5534854771784232	0.3420807770961145	-0.2153809523809523	0.0218595041322314	0.0386274509803921	-0.0985416666666666	0.2053018372703412	0.8137405731523377	-0.1151271753681392
1	1	1	2	61883	5013	0.5051284545334056	0	1.0	972.2613830017508	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.8514492753623188	0.4712863070539418	0.5191308793456032	-0.1117047619047619	-0.4765702479338843	-0.4305882352941177	0.0357291666666666	-0.041758530183727	0.808235294117647	-0.3191566265060241
1	1	1	3	829	4850	0.5051747420802712	0	1.0	742.3512359964661	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.5184927536231884	0.6420470262793914	0.5973364008179959	-0.004847619047619	-0.0644765840220386	0.1468627450980392	0.0582291666666666	0.2809580052493438	1.3173453996983409	-0.2691164658634538
1	1	1	4	67574	8823	0.5052210498834028	0	1.0	747.5184790018828	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.4765410628019322	0.3467081604426003	0.1963905930470348	0.0824095238095238	0.1814876033057851	0.1839215686274509	0.0826041666666666	0.0938188976377952	0.2991704374057315	-0.1167871485943775
1	1	1	5	16021	9538	0.5052673283498734	0	1.0	547.4227739978232	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.0498260869565218	0.3511065006915629	0.4793660531697342	-0.2377714285714285	-0.1341873278236914	-0.0049019607843137	-0.0202083333333332	-0.2072440944881889	0.31236802413273	-0.1076439089692101
1	1	1	6	40423	6061	0.5053136319620534	0	1.0	510.5723930028034	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.5816038647342995	0.4443983402489626	0.4641564417177914	-0.1545809523809524	0.3241184573002755	-0.0864705882352941	0.4230208333333334	-0.0676509186351706	0.3870286576168929	-0.0879651941097724
1	1	1	7	51518	4421	0.5053598245140165	0	1.0	524.6947839987115	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.1618550724637681	0.6086721991701245	0.7063087934560327	0.2019142857142856	0.6625206611570247	0.5925490196078431	0.5142708333333333	0.5134514435695539	0.9997737556561086	0.1176305220883534
1	1	1	8	62326	3858	0.5054061164846643	0	1.0	622.7499560045544	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.3792753623188404	0.1270677731673582	0.0800562372188139	0.087	0.5340771349862259	-0.0770588235294117	0.3523958333333333	-0.0477821522309711	-0.0722775263951734	0.1314725568942436
1	1	1	9	50611	8124	0.5054524124134331	0	1.0	577.3867379975854	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.0464637681159419	-0.3996957123098202	-0.2527351738241308	-0.1658190476190476	-0.1447245179063361	-0.1225490196078431	-0.1752083333333333	-0.0223490813648293	-0.226395173453997	-0.025863453815261
1	1	1	10	55066	4843	0.5054986980976536	0	1.0	522.7915290015517	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.6692560386473431	-0.1407883817427386	-0.4134662576687117	0.1835809523809523	0.6319283746556474	0.042156862745098	0.2178125	0.2091338582677165	0.161131221719457	-0.1871887550200803
1	1	1	11	37399	7941	0.5055449943756684	0	1.0	514.9415350024356	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.3692657004830918	0.3058921161825726	-0.3249693251533743	-0.3110952380952381	-0.1974104683195592	-0.1405882352941176	0.058125	0.082020997375328	0.7195927601809955	-0.2443908969210174
1	1	1	12	18040	4523	0.505591289140284	0	1.0	559.4149370008381	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.110927536231884	-0.3099308437067773	-0.3917126789366053	-0.1387238095238095	-0.3782644628099173	0.2535294117647059	0.1133333333333333	0.2613779527559055	0.3900603318250376	-0.0654886211512717
1	1	1	13	67534	1070	0.505683882976882	0	1.0	543.3914800014463	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.2966086956521739	0.343997233748271	0.7942740286298569	0.2786380952380952	0.2410330578512396	0.632156862745098	-0.4566666666666666	-0.0568241469816272	0.7296832579185522	0.0044042838018741
1	1	1	14	21823	9588	0.5057301803026348	0	1.0	650.5606600039754	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.3281062801932366	0.5487275242047026	0.3011963190184049	0.1962857142857142	0.0046556473829201	-0.2227450980392156	0.0936458333333333	0.1861942257217847	0.5042684766214178	0.0575903614457831
1	1	1	15	35406	4623	0.505776461563073	0	1.0	564.742706999823	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.47687922705314	0.9789626556016596	0.9337014314928423	0.8128571428571428	0.6991184573002754	0.0168627450980391	0.8169791666666667	1.241889763779528	1.825565610859729	0.3953547523427041
1	1	1	16	21691	3185	0.5058227592380717	0	1.0	607.0871099946089	0.0			0	1.0	1.0	0.0	1.0	0	subj01	1.2359806763285024	1.110719225449516	1.3755623721881391	0.5829523809523809	0.1893526170798897	0.1509803921568627	0.3298958333333333	1.1596981627296588	1.9891855203619908	0.5491967871485943
1	1	1	17	28279	4586	0.5058690621517598	0	1.0	602.9935089973151	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.994231884057971	0.5091701244813277	0.8420961145194273	0.3199047619047619	0.5190358126721764	-0.0058823529411764	0.4209375000000001	0.6213517060367454	0.4549924585218703	0.5933601070950468
1	1	1	18	10460	1009	0.5059153529582545	0	1.0	602.7881670015631	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.382743961352657	0.8824481327800829	0.9914110429447852	0.7386190476190476	0.6433471074380165	0.4590196078431373	0.8079166666666666	1.1316010498687663	0.8428054298642533	0.4631726907630522
1	1	1	19	2294	8634	0.5059616465587168	0	1.0	575.6474750014604	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.9569661835748792	0.880179806362379	0.6718047034764826	0.5139523809523809	0.84	0.8011764705882353	1.2626041666666667	0.9786351706036746	0.9386123680241328	0.2955957161981258
1	1	1	20	44326	9648	0.5060079434188082	0	1.0	811.6352860015468	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.3708502415458937	0.5512448132780082	0.1149795501022494	0.2622380952380952	0.8055096418732782	0.1519607843137254	0.1409375	0.4099606299212598	0.4499698340874811	0.3768540829986613
1	1	1	21	38219	9425	0.5060542353894562	0	1.0	919.2733090021648	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.3082318840579711	0.2518672199170124	0.172280163599182	-0.2256095238095237	0.1332231404958677	0.4111764705882353	-0.0473958333333332	0.0433989501312336	0.8933484162895928	0.0489959839357429
1	1	1	22	30033	1344	0.5061005214229226	0	1.0	904.7697970017908	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.6627536231884059	0.3460857538035961	0.3640132924335378	0.014247619047619	0.2020385674931129	0.2731372549019608	0.3451041666666666	0.3321784776902887	0.2565912518853695	-0.0711378848728246
1	1	1	23	65256	7441	0.5061931109521538	0	1.0	683.7639959994704	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.1841449275362319	0.0848271092669433	0.7183179959100204	-0.0841333333333333	0.1143526170798898	0.0639215686274509	-0.4392708333333333	-0.2114041994750656	0.2958371040723981	-0.1762650602409638
1	1	1	24	64920	3902	0.506239408161491	0	1.0	669.1541229956783	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-1.0358164251207729	0.2703734439834025	0.3949744376278118	-0.1748	-0.0801377410468319	0.0092156862745098	-0.1062499999999999	0.0696587926509186	0.066787330316742	-0.288206157965194
1	1	1	25	12470	8795	0.5062857058364897	0	1.0	601.5963710015058	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.5820193236714977	0.0875656984785615	-0.3688343558282208	-0.2001809523809523	-0.2978236914600551	-0.0141176470588235	0.004375	0.0175590551181101	0.1818552036199095	-0.4869879518072289
1	1	1	26	43079	1840	0.5063319923356175	0	1.0	639.9194939949666	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.3886183574879228	0.4738174273858921	-0.0512014314928425	0.4232	0.1715151515151514	0.1996078431372549	0.4203124999999999	0.6130052493438319	1.2263348416289592	0.06095046854083
1	1	1	27	8927	1356	0.5063782928045839	0	1.0	1271.2752209990867	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.3957004830917874	0.5159751037344398	0.2949948875255623	0.8619714285714287	0.4649862258953168	-0.4609803921568627	-0.0478125	0.3695406824146982	1.369894419306184	0.1882195448460508
1	1	1	28	9861	5506	0.5064245873363687	0	1.0	751.8631839993758	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.0650628019323671	0.284923928077455	0.0186554192229039	0.4641809523809524	0.1169696969696969	-0.3678431372549019	-0.1816666666666667	-0.1355643044619422	0.7037405731523377	-0.1586880856760374
1	1	1	29	48618	666	0.5064708818681538	0	1.0	677.6291740025044	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.3064927536231883	0.4518948824343015	0.4852709611451943	0.5237809523809523	0.2233195592286501	0.8107843137254901	0.1971875	0.3773228346456693	0.8612518853695325	0.0614591700133869
1	1	1	30	18700	8240	0.5065171758178622	0	1.0	714.4281040018541	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.8904444444444444	0.7123513139695713	0.5204754601226994	0.3636666666666666	0.136267217630854	0.7164705882352941	0.2629166666666667	0.668963254593176	0.7766666666666666	0.5062115127175368
1	1	1	31	52708	7232	0.5065634723287075	0	1.0	910.8137489965884	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.0515072463768115	0.3205394190871369	0.1146523517382412	-0.1190571428571428	0.2384022038567493	-0.0964705882352941	0.0695833333333333	-0.303267716535433	-0.0072850678733031	0.0589022757697456
1	1	1	32	65061	5691	0.5066097620874643	0	1.0	548.6277689997223	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.2752463768115942	0.5621300138312587	0.4922188139059306	-0.1658285714285714	0.0019283746556473	-0.3992156862745097	0.2320833333333333	-0.0407217847769029	0.987526395173454	-0.139437751004016
