SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	subject
1	1	1	42	17682	8748	0.5071189065929502	0	1.0	664.4724709985894	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	43	61820	9202	0.5071651943726465	0	1.0	885.7652970036723	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	44	572	3123	0.5072114913491532	0	1.0	755.7306439994135	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	45	32626	436	0.5072577844839543	0	1.0	733.0651220036088	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	46	28279	4586	0.5073503652820363	1	1.0	1104.6992819974548	0.0	28.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	1	47	17498	1499	0.5073966708732768	0	1.0	807.1378419990651	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	48	50803	2872	0.5074429614469408	0	1.0	687.1542830049293	0.0			0	1.0	2.0	0.0	1.0	0	subj01
1	1	1	49	36629	9173	0.507489254930988	0	1.0	702.8442539958633	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	50	22269	2665	0.5075355505105108	0	1.0	829.5802630018442	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	51	27746	1045	0.5075818437617272	0	1.0	783.054686995456	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	52	18469	1974	0.5076281353831291	0	1.0	843.0576429964275	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	53	34052	2268	0.5076744272373616	0	1.0	762.7290849995915	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	54	15556	7771	0.507720720488578	0	1.0	735.1577970039216	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	55	17304	6336	0.507813317934051	0	1.0	745.036648993846	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	56	53053	727	0.5078595092054456	0	1.0	602.2468570008641	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	57	4931	40	0.5079058073461055	0	1.0	803.1336389976785	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	58	43899	6000	0.5079520994331687	0	1.0	1034.5246140059317	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	59	3372	7046	0.5079983854666352	0	1.0	804.705347996787	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	60	17953	1607	0.5080446900101377	0	1.0	1277.7432879956905	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	61	31928	2132	0.5080909825628623	0	1.0	777.3531989951152	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	62	50006	5352	0.508137279888615	0	1.0	750.9546380024403	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	1	63	35619	2514	0.508183570462279	0	1.0	942.5490329958848	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	1	4997	5730	0.5103471148759126	0	1.0	878.4819400025299	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	2	3586	4135	0.5103934137150645	0	1.0	657.9469940043056	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	3	33484	5169	0.5104395966045558	0						0		0.0	0.0		0	subj01
